"block","b","v","seed_out","seed","basis","K","h_t","lambda","E_sp","E_ll","E_spl","Delta_ll","Delta_spl"
1,1,1,2126,2127,0,1,0.184909887271655,10,0.00320521420976159,0.00334780489592638,0.00332724712496646,0.0435259518580139,0.0373663486388719
2,1,2,2126,2128,0,1,0.210745906055137,0.545559478116852,0.0042457156754614,0.00446976143415368,0.00448020577540631,0.0514246386422145,0.0537585792587954
3,1,3,2126,2129,0,1,0.6,10,0.00474849921139576,0.00513884393967971,0.00510121145772332,0.0789995270843571,0.071649439625545
4,1,4,2126,2130,0,1,0.6,10,0.00309289588232174,0.00282269643289175,0.00281645188810802,-0.0914152208008999,-0.0936299337258669
5,1,5,2126,2131,0,1,0.6,10,0.00752684387371294,0.00699770169915939,0.00699489784787641,-0.0728940472186667,-0.0732948092516371
6,1,6,2126,2132,0,1,0.6,10,0.00365391174652259,0.00348798521065186,0.00348302857256409,-0.0464740391254572,-0.047896110312584
7,1,7,2126,2133,0,1,0.6,10,0.00364195093270707,0.00386171872723706,0.00390084586364789,0.0585928419071173,0.0686739091419484
8,1,8,2126,2134,0,2,0.210745906055137,10,0.00424358199530116,0.0041634307933284,0.0041578649226311,-0.0190682784836058,-0.0204060200366826
9,1,9,2126,2135,0,1,0.6,10,0.00458632164729894,0.00449117363274691,0.00446228769108932,-0.0209642630240241,-0.0274167490143927
10,1,10,2126,2136,0,2,0.6,10,0.00764302531908995,0.00749764501288421,0.00743434262305004,-0.0192045360190871,-0.0276833495049634
11,2,1,2226,2227,0,1,0.210745906055137,1.12883789168469,0.00382794346498659,0.00394005831179531,0.00384525872965218,0.0288678184790067,0.00451318592091246
12,2,2,2226,2228,0,1,0.210745906055137,10,0.0044410708899139,0.00399791896049418,0.00410717681970592,-0.105121572922901,-0.0781596514845626
13,2,3,2226,2229,0,1,0.6,10,0.00423109170387243,0.00462453949826144,0.00457739302547347,0.0889167522821294,0.0786695818720104
14,2,4,2226,2230,0,1,0.52644406925735,10,0.00530538111954864,0.00495167191220212,0.00491433046842334,-0.0689963314658458,-0.0765660888300129
15,2,5,2226,2231,0,2,0.6,10,0.00456081661886662,0.00448220022753725,0.00445141017654934,-0.0173876424936337,-0.0242807509930494
16,2,6,2226,2232,0,1,0.210745906055137,10,0.00369777085900274,0.00352464562384223,0.00347159698531248,-0.0479502685848905,-0.0631154531501228
17,2,7,2226,2233,0,1,0.124900188836792,0.127427498570313,0.00881934858051552,0.00973689551422022,0.00980716993441672,0.0989743209343559,0.106165733922889
18,2,8,2226,2234,0,1,0.6,10,0.00355611065377361,0.00326888073307822,0.00325414607294411,-0.0842197917971697,-0.0887375365906522
19,2,9,2226,2235,0,2,0.6,10,0.00340864701551752,0.0032911258795863,0.00328438409874002,-0.0350857240424661,-0.0371362975282793
20,2,10,2226,2236,0,1,0.6,10,0.00361638502697031,0.00375610880592191,0.00371322500263098,0.0379086139302271,0.0264258564077645
21,3,1,2326,2327,0,1,0.6,10,0.00760632398201628,0.00716110379108005,0.00718999002075974,-0.0603158743271021,-0.0562902203847622
22,3,2,2326,2328,0,1,0.210745906055137,0.545559478116852,0.00518266748631115,0.00495465519840653,0.0049759985984891,-0.0449923037103482,-0.0406938086902443
23,3,3,2326,2329,0,1,0.210745906055137,10,0.00359138785880576,0.00340143340285931,0.0033758748229422,-0.0543417861353614,-0.0618842204561349
24,3,4,2326,2330,0,1,0.6,10,0.00367203640478753,0.00363715766135305,0.00364839642328751,-0.00954387251566083,-0.00645865189450976
25,3,5,2326,2331,0,1,0.210745906055137,0.263665089873036,0.00299999187752745,0.00330546049992139,0.00321020925927692,0.0969662167420493,0.0677265436494606
26,3,6,2326,2332,0,1,0.6,10,0.00420813892628108,0.00437165974888048,0.00432833688757822,0.038122252544488,0.0281628879130447
27,3,7,2326,2333,0,1,0.184909887271655,10,0.00372481846243063,0.00395652028195582,0.00390405209348903,0.0603468065647642,0.046996896354951
28,3,8,2326,2334,0,1,0.6,10,0.00463111338679522,0.00428716494023879,0.00426791702317904,-0.0771716501102141,-0.0816714198656848
29,3,9,2326,2335,0,2,0.6,10,0.0104594431435031,0.0100905093502893,0.0100963515662676,-0.0359099066668528,-0.0353310929359234
30,3,10,2326,2336,0,1,0.16224118916868,0.0615848211066026,0.00406652817730895,0.00422350829691728,0.00423886567911721,0.0378765249172009,0.0415060972105084
31,4,1,2426,2427,0,1,0.210745906055137,0.127427498570313,0.00448654739967484,0.0045178783874831,0.00446784722725673,0.00695904769300664,-0.0041767646799494
32,4,2,2426,2428,0,2,0.210745906055137,10,0.00731632436547288,0.00692155684259487,0.00697684846323854,-0.0554673444168425,-0.0475107607479622
33,4,3,2426,2429,0,1,0.6,10,0.00341120954049149,0.00342377469177164,0.00339198262151622,0.003676721118321,-0.00565233781652357
34,4,4,2426,2430,0,1,0.6,10,0.00406067721455687,0.00419466143274632,0.00418309152906291,0.0324628680123337,0.0297008121026722
35,4,5,2426,2431,0,1,0.6,10,0.00395381331004655,0.00392086018128513,0.00388151163978779,-0.008369444435955,-0.0184558325224314
36,4,6,2426,2432,0,1,0.184909887271655,0.127427498570313,0.00518679202506329,0.00470611632764282,0.00474722227197247,-0.0972523901409518,-0.0885557370014374
37,4,7,2426,2433,0,1,0.210745906055137,0.545559478116852,0.00491830222386809,0.00462921277426605,0.00472065945375138,-0.0605765680165377,-0.0410148898859662
38,4,8,2426,2434,0,1,0.6,10,0.00289704541061182,0.00296324164608833,0.00297552610059316,0.0225924260898297,0.0267294701870745
39,4,9,2426,2435,0,1,0.6,10,0.0065244785346949,0.00611141785622571,0.00610529381982673,-0.0654022306690586,-0.0664047978204061
40,4,10,2426,2436,0,2,0.210745906055137,0.127427498570313,0.00423248649992999,0.00451694089599681,0.00445050143476513,0.0650453263960914,0.0502271264004336
41,5,1,2526,2527,0,1,0.6,10,0.00708339965296467,0.00664122787397925,0.00660265596576166,-0.0644571022573593,-0.0702819822916232
42,5,2,2526,2528,0,1,0.6,10,0.00584430548100467,0.00580676639284308,0.00587227305211872,-0.00644390807396354,0.00477402582215032
43,5,3,2526,2529,0,1,0.184909887271655,10,0.00392214560459294,0.00402679450219271,0.00395992990121203,0.0263317983954401,0.00958747122310473
44,5,4,2526,2530,0,1,0.6,10,0.00353798757110369,0.00374353496221442,0.00372084171118581,0.0564722593315062,0.0503918263794267
45,5,5,2526,2531,0,1,0.210745906055137,10,0.00302218362972664,0.00320066382323251,0.00318913014933973,0.0573786067436942,0.0537685728464572
46,5,6,2526,2532,0,1,0.6,10,0.00373070690210883,0.0031805845232394,0.00318544883905867,-0.159532741450999,-0.158004531814285
47,5,7,2526,2533,0,1,0.6,10,0.00435378796419704,0.00415861948692236,0.00413662338978117,-0.0458630974523206,-0.0511664138281667
48,5,8,2526,2534,0,1,0.461905596760395,1.12883789168469,0.00657092987059015,0.00724508955755906,0.00735594344662006,0.0976685816920146,0.112853263355057
49,5,9,2526,2535,0,1,0.210745906055137,10,0.00360775546727262,0.00381189884391156,0.00375982134196384,0.0550416244578253,0.0412856160803918
50,5,10,2526,2536,0,2,0.184909887271655,0.0615848211066026,0.00440359290067868,0.00459512802199216,0.00458901463293244,0.0425758405215197,0.041244548055291
